date,year,month,semester,quarter,decade,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,usd_raw,eur_raw,gbp_raw,jpy_raw,cny_raw,gdp_dollar,adj_price,usd_adjusted,eur_adjusted,gbp_adjusted,jpy_adjusted,cny_adjusted,gdp_per_capita,log_gdp_per_capita,inflation_rate,unemployment_rate,population,log_population,urban_pct,continent,income_group,eu_member
4/1/01,2001,4,H1,2,2000,CHE,CHF,Switzerland,6.3,1.73,3.641618497,0.43371,0.6102,0.27969,0.53592,2.04572,,,,,,,,39638.79111,10.58756349,0.98902033,2.49,7229854,15.7937294,73.375,Europe,High income,0
4/1/01,2001,4,H1,2,2000,CHL,CLP,Chile,1260,601,2.096505824,-0.1746,-0.073,-0.26327,-0.11576,0.75344,,,,,,,,4563.595299,8.425866035,3.56910053,10.39,15683849,16.56814201,86.363,South America,High income,0
4/1/01,2001,4,H1,2,2000,CHN,CNY,China,9.9,8.28,1.195652174,-0.52927,-0.47132,-0.57984,-0.49571,0,,,,,,,,1065.405976,6.971111203,0.719125609,3.6,1271850000,20.96373837,37.093,Asia,Upper middle income,0
4/1/01,2001,4,H1,2,2000,CZE,CZK,Czech Republic,56,39,1.435897436,-0.43469,-0.3651,-0.49542,-0.39438,0.20093,,,,,,,,6669.074948,8.805236441,4.66267557,8.128,10216605,16.1395249,73.877,Europe,High income,1
4/1/01,2001,4,H1,2,2000,DNK,DKK,Denmark,24.75,8.46,2.925531915,0.15178,0.29357,0.02805,0.2339,1.44681,,,,,,,,30768.47755,10.33424599,2.337870003,4.164,5358783,15.49424746,85.15,Europe,High income,1
4/1/01,2001,4,H1,2,2000,EUZ,EUR,Euro area,2.57,1.136363636,2.261600001,-0.10961,0,-0.20526,-0.04613,0.89152,,,,,,,,,,,,,,,,,0
4/1/01,2001,4,H1,2,2000,GBR,GBP,Britain,1.99,0.699300699,2.845700001,0.12035,0.25827,0,0.20023,1.38004,,,,,,,,27906.5695,10.23661741,1.532349603,4.696,59119673,17.8950743,78.751,Europe,High income,0
4/1/01,2001,4,H1,2,2000,HKG,HKD,Hong Kong,10.7,7.8,1.371794872,-0.45992,-0.39344,-0.51794,-0.42142,0.14732,,,,,,,,25230.37809,10.13580403,-1.658163265,5.09,6714300,15.71975014,100,Asia,High income,0
4/1/01,2001,4,H1,2,2000,HUN,HUF,Hungary,399,303,1.316831683,-0.48156,-0.41774,-0.53726,-0.4446,0.10135,,,,,,,,5280.94888,8.571861073,9.116809117,5.671,10187576,16.1366795,64.67,Europe,High income,1
4/1/01,2001,4,H1,2,2000,IDN,IDR,Indonesia,14700,10855,1.354214648,-0.46684,-0.40121,-0.52412,-0.42883,0.13262,,,,,,,,732.3070934,6.596199952,11.50011488,6.082,219097902,19.20502923,42.783,Asia,Lower middle income,0
